covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x32x1.exe.XLoutput:Regional(EnergyStat) 7.698679 1186.686900 154.141635
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x32x32.exe.XLoutput:Regional(EnergyStat) 5.381535 820.550700 152.475206
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x32x64.exe.XLoutput:Regional(EnergyStat) 5.212291 799.743660 153.434182
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x64x16.exe.XLoutput:Regional(EnergyStat) 5.770381 870.270045 150.816751
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x64x1.exe.XLoutput:Regional(EnergyStat) 8.864884 1334.681445 150.558255
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x64x32.exe.XLoutput:Regional(EnergyStat) 5.415795 821.365575 151.661118
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x64x64.exe.XLoutput:Regional(EnergyStat) 5.457782 827.049420 151.535813
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x16x16.exe.XLoutput:Regional(EnergyStat) 3.079225 463.684260 150.584744
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x16x1.exe.XLoutput:Regional(EnergyStat) 4.466317 684.710535 153.305415
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x16x32.exe.XLoutput:Regional(EnergyStat) 2.977337 448.398540 150.603890
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x16x64.exe.XLoutput:Regional(EnergyStat) 3.055330 457.577820 149.763788
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x1x16.exe.XLoutput:Regional(EnergyStat) 3.204426 495.966090 154.775352
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x1x1.exe.XLoutput:Regional(EnergyStat) 3.211545 525.411465 163.600857
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_32x1x32.exe.XLoutput:Regional(EnergyStat) 3.118121 480.212145 154.006902
